sire,dam,laid,hatchstart,hatchend,hatchnum,clutchsize,maleprice,femaleprice,sire_tree,sire_doh,dam_tree,dam_doh,lineage_collage
nugget,alla,2020-04-10,2020-10-29,2020-11-24,26,29,375,325,/blog/2019/06/09/nugget/tree.png,2019/06/09,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/nuggetalla.jpg
zanaka,lilly,2020-04-15,NA,NA,0,25,350,325,/blog/2019/08/21/zanaka/tree.png,2019/08/21,/blog/2019/06/06/lilly/tree.png,2019/06/06,/img/ambilobe/zanakalilly.jpg
bleu,patch,2020-04-21,2020-10-28,2020-11-17,33,41,350,325,/blog/2019/07/15/bleu/tree.png,2019/07/15,/blog/2019/06/08/patch/tree.png,2019/06/08,/img/ambilobe/bleupatch.jpg
zanaka,button,2020-05-22,NA,NA,0,24,350,325,/blog/2019/08/21/zanaka/tree.png,2019/08/21,/blog/2019/07/14/button/tree.png,2019/07/14,/img/ambilobe/zanakabutton.jpg
zanaka,daisy,2020-05-30,2020-12-21,2021-01-14,23,31,350,325,/blog/2019/08/21/zanaka/tree.png,2019/08/21,/blog/2019/06/07/daisy/tree.png,2019/06/07,/img/ambilobe/zanakadaisy.jpg
nugget,alla,2020-06-01,2021-01-17,2021-03-10,17,23,375,325,/blog/2019/06/09/nugget/tree.png,2019/06/09,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/nuggetalla.jpg
jack,mavokely,2020-06-14,2021-01-20,2021-03-17,3,21,450,399,/blog/2019/10/20/jack/tree.png,2019/10/20,/blog/2019/11/12/mavokely/tree.png,2019/11/12,/img/ambilobe/jackmavokely.jpg
blossom,maitso,2020-06-30,2021-01-27,2021-03-07,25,27,450,39,/blog/2019/07/09/blossom/tree.png,2019/07/09,/blog/2019/11/13/maitso/tree.png,2019/11/13,/img/ambilobe/blossommaitso.jpg
nugget,bohana,2020-07-10,2021-01-14,2021-03-05,5,14,449,399,/blog/2019/06/09/nugget/tree.png,2019/06/09,/blog/2020/03/29/bohana/tree.png,2020/03/29,/img/ambilobe/nuggetbohana.jpg
zanaka,daisy,2020-07-20,2021-03-08,2021-03-20,21,26,350,299,/blog/2019/08/21/zanaka/tree.png,2019/08/21,/blog/2019/06/07/daisy/tree.png,2019/06/07,/img/ambilobe/zanakadaisy.jpg
nugget,alla,2020-07-23,2021-04-01,2021-04-15,20,21,375,325,/blog/2019/06/09/nugget/tree.png,2019/06/09,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/nuggetalla.jpg
